"";"GSM3688814_p.15.06.2016_01_AS6.ga.cel";"GSM3688815_p.15.06.2016_02_AS2.ga.cel";"GSM3688816_p.15.06.2016_03_AS3.ga.cel";"GSM3688817_p.15.06.2016_04_AS5.ga.cel";"GSM3688818_p.15.06.2016_14_AS7.ga.cel";"GSM3688819_p.15.06.2016_05_S15.ga.cel";"GSM3688820_p.15.06.2016_07_S10.ga.cel";"GSM3688821_p.15.06.2016_09_S29.ga.cel";"P.Value";"adj.P.Val";"B"
"17059869";11,9659889419325;11,7133634601305;11,942474126041;11,6319790875024;12,1716443265535;11,0681539477913;10,832483951537;11,6319790875024;0,0421147423402586;0,333238492519969;-4,02153000764162
"17059932";8,51708288432643;7,53418234696614;7,88558458627327;8,08467424277144;7,96856632303297;9,12916460895387;9,60041030716198;8,56442744900159;0,00240682223712334;0,149356691048154;-1,42640408857436
"17060001";8,20536109493919;6,41865524810303;7,72710817485953;9,10074028128914;7,45380108354601;8,56877655196402;6,92376833983178;6,6170328234959;0,809098178860558;0,905952049907853;-6,1392557616014
"17060012";5,32026861656805;5,61797164275741;5,6768802272531;4,98747670627223;6,32590840542756;6,34851150751428;6,71764774587025;6,09005397326147;0,0866619827280089;0,388966443849062;-4,64004032475622
"17060049";5,43451342292619;5,16533623788851;5,86237222802021;5,45003926005022;5,76247278134961;6,76807173715369;6,60055846678397;5,94741976705243;0,0111340812045716;0,256177356498453;-2,83262850101458
"17060057";5,73424542671063;4,64148324500892;5,71114059752423;4,62080391917827;4,41590346287616;4,13650570135102;6,80926087448301;5,59809102463934;0,309104429092768;0,573140927868233;-5,62900065863662
"17060061";9,20295577214301;8,66729380704318;8,74472424897096;8,84278506591015;9,34547930856779;8,16930907549583;9,38010018412035;8,28406272724712;0,413949349287872;0,653004245952058;-5,8206961608239
"17060085";9,06308260749008;8,25991516639539;8,30690675024543;7,89572793833362;8,50106774636091;8,5729052527952;9,2929453924666;8,43263827014507;0,31999562506321;0,582289817172523;-5,65276789891062
"17060143";6,52091723215009;5,90694108262561;6,32965097356264;6,66940265971621;6,17833261342806;7,5304643055527;8,37679857080062;7,18679324253719;0,0036145979035122;0,167568573396012;-1,80188969484545
"17060186";8,24742229557816;7,13604683410892;7,6127851117596;7,6127851117596;6,72218291082596;7,6127851117596;8,9905100901747;7,35168826180041;0,289124188836654;0,555615860525665;-5,58245323780193
"17060235";7,54641468221807;8,21924911734398;8,28505849874315;8,38488231307337;8,79675862609396;7,63257637675991;7,98204749539085;8,4710655212829;0,535680856818719;0,736815413524691;-5,96907109923503
"17060356";9,58076329434318;9,72775524547253;9,66172991286819;9,58002807540082;9,05801278183234;9,17065080362426;8,42753892505461;9,7586162536507;0,196708988668143;0,477589084207284;-5,29940652489015
"17060478";3,8323136849037;5,75167846902561;4,12963715282882;3,87748584823145;4,0072311914508;3,83383699181772;3,70057074897108;3,9135201427669;0,818650882775647;0,911895606117596;-6,14229011000964
"17060543";6,94425306208645;5,91878171752471;6,62636097880052;6,69896856740255;6,03646865019687;7,28856200921325;7,0702229471968;6,26207953961642;0,229280200988895;0,507475530722448;-5,41472362735267
"17060554";7,43072102127863;6,41384931275859;7,29665600191745;7,06156656406469;6,97293722437128;6,12740590408333;7,16752679658674;6,43991016342773;0,648149914819398;0,814074349535159;-6,06081077451708
"17060585";7,14751108863424;6,25998460251726;6,83497223024667;6,52036127596605;5,75927365149682;7,16998945827305;6,9914475502567;5,9307389729248;0,388375882741542;0,632785151305316;-5,78067906645388
"17060611";6,68953982027215;6,55608032518691;5,56672714103247;6,06718312346042;5,3531635544167;5,71257933525359;5,25840965583287;5,59772125145873;0,690509097670062;0,839489038404976;-6,08682293327527
"17060729";6,51646434690295;6,00164148133118;6,22118755974216;5,97163123984046;5,43603519350484;7,07932472574523;6,61243029148216;5,44882745768846;0,191197390762553;0,474174348289755;-5,27767527581221
"17060909";8,12911505040501;7,40022799231364;8,03093766440788;8,03552582054257;8,04394977833577;8,23038143939092;8,94820706593446;7,15507663467515;0,467733598925412;0,693298812340619;-5,89392166924569
"17060944";7,84534276066419;7,96043754600259;8,35890428148706;7,79483755504164;7,6549379632845;7,5761402609752;6,5321153418894;7,4207122365185;0,071929656669037;0,373205494226439;-4,48293346985161
"17060959";5,34857639605792;6,15220846436211;5,47995341230623;5,18314272161787;4,75017075152366;4,80174927791392;3,79511045594974;5,72487254342932;0,484742826977434;0,705252670444537;-5,91438962156093
"17060983";7,09090612883929;5,96843692162488;6,42803090666588;6,36729115905846;6,31162617184572;8,00042276961532;7,16253198374304;6,51791472228435;0,103504334385181;0,404010511968249;-4,78770997805543
"17060989";6,94094565322027;7,00832347558143;7,34626567274116;7,27522654212367;6,5997879597169;6,24279737250473;7,88641306205931;6,33584745697414;0,892455085842803;0,948799807315746;-6,16024345816679
"17060993";4,96533298549031;5,71938424172429;5,85117565290483;5,73905270316049;4,06571681665553;4,96533298549031;5,03749541081899;4,47795588268945;0,257015981202232;0,529948370647141;-5,49843547254776
"17061048";8,12492283441056;7,45619913291439;7,50134898115644;7,71034150388075;6,61027563983898;7,09283427619959;8,82934301567699;6,96405758137859;0,630296116147399;0,802478071888273;-6,04855655792656
"17061097";6,29415239773823;8,37438555252766;8,01314192726587;8,65741370094356;7,40191375755708;5,54147697367456;7,37090839835533;5,50465007133741;0,120562288649991;0,419744653782983;-4,91271066665981
"17061099";5,09411131772271;5,85285242052738;5,60738917619888;6,37915160517482;4,64344764645768;5,3097364040972;4,1778360393697;4,4852060070753;0,852976173123539;0,929989639218148;-6,15183182812853
"17061104";5,54264318933894;6,48791329351746;6,20499522102261;6,5242778049942;5,42870845952557;5,81681105260505;6,34554270957551;5,85301696697114;0,74340108287015;0,870061808849691;-6,11371275494395
"17061106";7,09643242421828;8,4280638476225;7,68661652412304;8,48026336421227;6,6481313961573;6,6418836489197;7,29724946095704;6,2272228976672;0,227198798094466;0,50625013032195;-5,40795222529605
"17061110";6,04877549510169;6,64953123689501;6,10588602218324;6,96628693020546;5,28293262563422;5,27120190304081;6,32570486651744;5,90838734285758;0,70739343741749;0,847885329083791;-6,09605547784579
"17061112";7,71736011267637;7,5341657322153;7,49668453899476;7,95661811945772;6,55077690293168;7,13171493189287;6,23205604692867;7,32436009834723;0,939395641215936;0,972171656415137;-6,16678741498861
"17061121";7,2416733917104;8,64379170986435;8,46851504654902;8,79639467311038;6,68054153572207;5,68129981028467;7,78368185484858;6,12298257804251;0,158320491599371;0,444610909155242;-5,13097432219103
"17061123";7,85709747019712;8,99428659973832;8,91299722418375;9,43239058614297;7,12620582047928;7,87071312560603;9,2203746851434;7,1956240367474;0,668845442140349;0,82626285299418;-6,07404247624044
"17061125";7,54151954954033;9,13161441061297;9,3684369775504;9,35931234878062;6,99364219065269;6,5089248726175;9,45646780737879;6,56066386228574;0,238440228993239;0,515124400672999;-5,44366980477733
"17061127";7,081711164677;8,61931189639811;8,57067413080621;8,85564517487919;6,42753708022933;6,46456415266005;8,79954759221543;5,95268581284022;0,261978950628078;0,533105488723053;-5,51225079841341
"17061129";8,22729900757048;9,25135808860912;8,50629906052417;9,19008606879007;7,18310106795177;7,12225952960083;8,28165551603439;7,05610358647139;0,13632881825306;0,431644885218433;-5,01202030612255
"17061138";8,80709893835291;8,30188721779069;8,97000202459863;8,85143763489676;8,0522394276424;8,24349526462401;10,051890710459;8,11251549363265;0,366934376799236;0,616993565636009;-5,74411484614303
"17061153";7,13589029974469;7,72867931431603;7,49259276337467;7,6800458421128;7,00945103883681;6,18163547612482;7,8017981249592;6,58222467766092;0,800880441845763;0,902154411461329;-6,13651082873757
"17061238";6,37907231274306;5,56370573286242;5,60154014486239;5,72189021766865;5,70023167689312;5,49061319353384;6,38502676029412;5,64769207144498;0,428432094217497;0,665049657312255;-5,84178662087634
"17061296";4,79683102100334;8,7226574836354;6,74612161231621;9,20105440050015;6,33665989210327;4,93635329965973;3,81995648945485;9,70808423935624;0,53230480445496;0,734098441321479;-5,96573126876388
"17061545";4,85448785246728;3,92954032662933;4,11632971985301;3,77665755588655;4,0119268497171;4,93479669313984;5,33484539132212;4,29872794663958;0,282141161933149;0,549801764512219;-5,56520832748534
"17061592";6,80905871102781;6,08567690694458;6,57610850619059;6,43730223865196;5,982631070799;6,43730223865196;7,62124167469268;5,7058400448008;0,442399180940909;0,674494088292297;-5,86113367295851
"17061662";8,21867945854225;7,59980210733399;7,78548949700696;7,87273163514892;6,95672100272101;7,79288893120344;8,19558342260546;7,69038534488041;0,549493962727824;0,746883196437953;-5,98234495275439
"17061757";7,3819341104869;6,24863617695729;6,49728924428542;8,88374057731856;6,40162865565099;5,61026972836779;4,59353610171945;7,26866825743633;0,558294685235424;0,75236438508222;-5,99048314693105
"17061859";5,56998100406782;5,13487947902206;5,39808261593782;5,65592296722856;4,77204397133106;5,84232779378037;5,94335402155049;5,01242080871985;0,48385271566209;0,704434244772;-5,91334767610087
"17061881";5,68560397536553;5,30143348966889;5,51817278250459;5,26231711629584;5,26642891888012;7,01929969493169;7,9641183711132;6,33343752742353;0,000941368270789036;0,105150835847135;-0,556929579726448
"17061958";7,99776039933104;6,98858863386348;7,36423187031551;7,21498618932656;6,54370343504084;7,82455395559762;8,04423028583042;7,17637602162207;0,356102442384438;0,606890926601527;-5,72449257668953
"17062101";5,69213117414883;5,1234074650785;5,26512876629106;5,10136836944232;4,69820067187505;4,78948019681877;5,60443028891156;5,84353618831141;0,508925519220365;0,718672319809288;-5,94152595028262
"17062103";5,32981789309247;4,92637603317745;5,24357993474523;5,07442657679755;4,22007422440227;4,87714611012705;4,67360260218983;5,04007200273798;0,541376546946526;0,740999819796919;-5,97461984739959
"17062107";6,05472123178804;6,13504274419478;7,83967027617555;7,02995410014193;8,04247677168309;5,75811340590328;4,96206197207323;6,07382970566623;0,0576079356637211;0,354777868158568;-4,29319467080979
"17062127";5,15331836610281;5,30250113524633;5,97812325604994;5,71479062849492;5,80648646752194;4,50102137376113;4,43540342929079;4,61309361514136;0,00329593520825078;0,16520844341849;-1,71677176007439
"17062253";3,74146390974929;3,85410708781665;3,40842115184887;3,9649233886865;4,57493109931347;4,83357569416847;4,04312473230878;4,49188844903715;0,464287199016384;0,691094460368197;-5,88962753722258
"17062460";8,53067901704041;7,82944359310812;7,86520610519572;7,80555994654315;7,36694953973022;8,1483888107994;9,47668232509657;7,54578993714396;0,195144057546171;0,476651659088479;-5,2933090743583
"17062620";3,62197087030803;3,86076782553292;3,85743292892167;3,61251729744377;3,85092157913219;4,55089335758588;4,45046983846413;3,85743292892167;0,187001865799564;0,469923698758408;-5,26063920341882
"17062768";7,71913021521484;6,45287438370963;7,21997510692374;7,44888225110355;6,48703740196657;8,13079650426296;8,13696207683993;7,21612285634675;0,0463183005768998;0,33982053183058;-4,1044786654623
"17062796";4,40132558821662;4,90688883652716;4,30650121726387;5,07910659813597;4,40132558821662;3,95214411116325;4,40132558821662;4,01423922260545;0,386275491297699;0,631342115029186;-5,77722420340898
"17062945";10,1578816385849;9,29002890666993;9,34575173532966;9,25346833801894;8,71073735341329;9,77407300578508;11,4360555344354;9,36678729612563;0,158826095010953;0,445081378990644;-5,13348604476846
