"";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"16782062";0,822995853140589;5,5071984529045;1,44275124784124;0,167984901573478;0,453513113797034;-5,17747425093537
"16654029";-0,629523289308906;5,70259183605208;-1,44272719192827;0,16799158578586;0,453513113797034;-5,17750534928313
"16653171";1,01440438606013;4,73606975899567;1,44270952173103;0,167996495792718;0,453513113797034;-5,1775281922272
"16858235";-0,533005356112803;8,63053744053999;-1,44262331805694;0,168020450844231;0,453513113797034;-5,17763962797284
"16650823";-0,519035941251169;3,98050588281905;-1,44242314264757;0,168076088202908;0,453571952138469;-5,1778983757171
"17017165";-0,720585701148927;7,2739020132512;-1,44193163715092;0,168212762891473;0,453753643333383;-5,17853358193731
"16735933";0,563259788621509;6,24533431664407;1,44174277779027;0,168265303945706;0,453753643333383;-5,17877761387484
"16948967";-0,469312514696294;5,54722213607249;-1,4416768084897;0,168283659912161;0,453753643333383;-5,17886284941771
"16900489";0,820074394399341;7,85742226195625;1,44155886252872;0,168316482487486;0,453753643333383;-5,17901523391103
"16650141";0,615297381795534;5,22937680718426;1,44139320398834;0,168362591624222;0,453753643333383;-5,17922924629981
"16653129";-0,590284199797778;6,78201330088666;-1,44135543199724;0,168373106471944;0,453753643333383;-5,17927804087743
"16693864";-0,563282787244226;7,32442801625072;-1,4413293025221;0,168380380628189;0,453753643333383;-5,17931179485982
"16909021";-0,506109451699192;10,1217271916317;-1,44070678371996;0,168553759248797;0,454129565622285;-5,18011582471021
"16658943";0,942226397808936;6,61296008994826;1,44056436076387;0,168593446261014;0,454145207733647;-5,18029973738104
"16894361";-0,475403629384649;9,05752737952242;-1,44036424772794;0,168649221916642;0,454204173311366;-5,18055812255973
"16756923";-0,52837151534543;8,24702706526449;-1,4401930049821;0,168696962844794;0,454241480508561;-5,18077920876028
"16661927";-0,575766597610183;9,13265285697403;-1,44006521778684;0,168732595983255;0,454246177256386;-5,18094417776322
"16654023";-0,652601439451697;5,79831353900626;-1,43986184549927;0,168789318569975;0,454307635765451;-5,18120670153548
"17017211";0,986872948758854;7,66208640027966;1,43957678164261;0,168868852093813;0,454332259030352;-5,18157462945048
"16832518";-0,524905757455734;8,81006568433897;-1,43907655004514;0,169008492265064;0,454332259030352;-5,18222013679399
"16788518";0,559943661467542;6,13665815326105;1,4389160285014;0,16905332209114;0,454332259030352;-5,18242724018284
"17030655";-0,489473501468042;7,92195384464095;-1,43871025209249;0,169110804784343;0,454332259030352;-5,18269270514785
"16999575";0,660384219773445;4,91980074158106;1,438709867762;0,169110912160296;0,454332259030352;-5,18269320093206
"17122828";0,546930648660998;9,22308119053104;1,43858468411131;0,169145889498032;0,454332259030352;-5,18285468176201
"16681082";-0,576203114267035;8,00028431292113;-1,43858090673399;0,169146945020426;0,454332259030352;-5,18285955422838
"16908171";0,550534807218159;7,37489933651433;1,43852856105064;0,169161572667405;0,454332259030352;-5,18292707429771
"16977516";0,521161433447697;5,07931415318058;1,43849592737278;0,169170692452874;0,454332259030352;-5,18296916713711
"16760546";-0,500128244691484;7,99686775667616;-1,43848298062628;0,169174310653595;0,454332259030352;-5,18298586641092
"17026529";-0,424714706710255;7,10307835776739;-1,4384062164972;0,169195765071351;0,454332259030352;-5,1830848777458
"16782102";0,589863713461003;7,67987588169373;1,43837242437778;0,169205210167078;0,454332259030352;-5,18312846196417
"16656973";-0,802733522236993;5,48725340506142;-1,43815322162191;0,169266489125329;0,454339196733344;-5,18341116511024
"17100793";-0,598619415093982;8,12845931053611;-1,43788609187822;0,16934119085792;0,454339196733344;-5,18375563458224
"17016760";-0,570476527251438;7,27275166727625;-1,43787827537735;0,169343377117263;0,454339196733344;-5,18376571338922
"17036173";-0,570476527251438;7,27275166727625;-1,43787827537735;0,169343377117263;0,454339196733344;-5,18376571338922
"16834687";0,494016406299243;6,17951077810986;1,43718620266452;0,169537040212934;0,454767758057669;-5,18465792452978
"16923365";-0,521926857605866;6,51673872513913;-1,43699182438096;0,16959146585054;0,454822730744424;-5,18490845539708
"16900496";1,34296081689923;9,07643255274515;1,43630799975732;0,169783049608491;0,455245448480138;-5,18578961934036
"16804778";-0,503938960790878;7,44230565515051;-1,43616018177613;0,169824486353055;0,45526548301527;-5,18598005272011
"16849574";-0,533252585104942;7,03791150715321;-1,43601284118135;0,169865797524798;0,455271237341425;-5,18616985616166
"16758549";-0,513744047613665;9,22356848862343;-1,43579686645853;0,169926367134104;0,455271237341425;-5,18644804682693
"16694266";-0,470140098373668;6,88121948238873;-1,4357891596111;0,169928528828644;0,455271237341425;-5,18645797319797
"17115428";-0,540011396859725;7,45675243274875;-1,43565184445747;0,169967048150961;0,45528343593435;-5,18663482741785
"17067403";0,486727056601243;8,33281154502728;1,4350799446395;0,170127553115696;0,455622322070487;-5,18737126309291
"16782038";0,456031461269159;8,5231074022006;1,43431922091031;0,170341244413798;0,455998824285835;-5,18835049932738
"16909317";-0,644725330756996;6,61121195521805;-1,43410335854725;0,170401921329739;0,455998824285835;-5,1886282942226
"16913493";-0,475755177691028;6,57626666587593;-1,43387769244075;0,170465372919481;0,455998824285835;-5,18891867140012
"16956961";-0,614202944247625;4,6932333734644;-1,43383530231015;0,170477294109186;0,455998824285835;-5,18897321324381
"17058456";0,777552861489456;11,0383089109586;1,43379009471739;0,170490008393977;0,455998824285835;-5,18903137885328
"17114551";-0,61698757726981;7,43894966563773;-1,43377588544699;0,170494004801516;0,455998824285835;-5,18904966068846
"17036079";-0,546522424108671;7,70904120750865;-1,43361042778419;0,170540546004315;0,455998824285835;-5,18926253049073
"17091905";-0,445942891864417;8,42858973192956;-1,43349196120506;0,17057387558751;0,455998824285835;-5,18941493228656
"16722032";-0,541256706607922;7,35088513974241;-1,43349040300926;0,170574314008444;0,455998824285835;-5,18941693676939
"16991018";-0,56583934235895;6,88836118311101;-1,43312442687711;0,170677312261617;0,456066756471452;-5,18988768688045
"16661646";-0,458042382766651;6,69424531440759;-1,43304170000299;0,1707006015034;0,456066756471452;-5,18999408457326
"16740828";-0,481945845210445;6,71001723298651;-1,43303744565907;0,170701799255243;0,456066756471452;-5,18999955609459
"16710635";-0,514978672771841;8,36195016312477;-1,43263774822235;0,170814359262831;0,456276538772216;-5,19051355236788
"16869860";-0,525004517743103;7,24984210778809;-1,4324802812253;0,1708587207106;0,456304102889995;-5,19071601899988
"16972773";-0,470134830456198;6,9859800574005;-1,43201787876447;0,170989042815739;0,456476011506306;-5,19131046450885
"16655141";-0,533186221113387;3,9101913763804;-1,43201022480383;0,170991200669439;0,456476011506306;-5,19132030288732
"16919703";-0,633999420220173;8,31513804750854;-1,43142699484172;0,171155694205088;0,456563303286724;-5,19206986642903
"16656437";0,671360648954689;5,81451808288668;1,43142405168243;0,17115652461895;0,456563303286724;-5,19207364836568
"16989534";-0,55100105876453;6,31252425949255;-1,43141173792759;0,171159998986802;0,456563303286724;-5,1920894713797
"16653497";0,756779294868627;4,68492292784978;1,43141121635493;0,171160146151581;0,456563303286724;-5,19209014159146
"16654075";-0,530609494751588;4,60536616113649;-1,43094658420189;0,171291285991291;0,456642253845412;-5,19268711142235
"16676764";0,569391638173282;7,92792694870486;1,43088999121916;0,171307264664258;0,456642253845412;-5,19275981320824
"16949499";-0,574722215509265;6,09315510355453;-1,43069571776093;0,17136212583891;0,456642253845412;-5,19300936849749
"16650333";0,589283438651515;7,53885494212475;1,4305252313594;0,171410281599246;0,456642253845412;-5,1932283465591
"16751209";-0,499009606370582;6,519615348492;-1,43044657609878;0,171432502377366;0,456642253845412;-5,1933293670888
"16653057";-0,691306020564509;7,56006217593924;-1,4304397203957;0,171434439283339;0,456642253845412;-5,19333817197838
"17019831";-0,597187758545883;8,17117902731492;-1,43039859592012;0,171446058342601;0,456642253845412;-5,19339098812371
"16655435";-1,02426249997667;4,80365971550319;-1,43016063128496;0,171513304081201;0,456642253845412;-5,19369658313491
"16820076";-0,519946200624188;9,03188023368241;-1,43014693795184;0,171517174297462;0,456642253845412;-5,19371416697457
"17117825";-0,509556156014785;5,42248239075172;-1,43010007524558;0,171530419882994;0,456642253845412;-5,19377434318785
"16811437";-0,53803872026355;8,52570887483374;-1,4291171372797;0,171808436980298;0,457029375919186;-5,19503618134202
"16965286";-0,414843801292478;4,62757641070284;-1,42906768164662;0,171822434896691;0,457029375919186;-5,19509965200086
"16698415";-0,674041303866413;4,54615353684239;-1,42900252820741;0,171840877342838;0,457029375919186;-5,19518326642945
"17118744";-0,674041303866413;4,54615353684239;-1,42900252820741;0,171840877342838;0,457029375919186;-5,19518326642945
"16824639";-0,425302635068366;4,58866050481222;-1,42897253003388;0,171849369222748;0,457029375919186;-5,19522176349277
"16855436";0,508313601693005;5,2959303161903;1,42860293478899;0,171954022387972;0,457029375919186;-5,19569601920775
"16682842";-0,469289336383953;7,97057536782594;-1,42840834203685;0,17200914347397;0,457029375919186;-5,19594567811289
"16711797";-0,505050361796154;7,78331716956905;-1,42833867005923;0,172028882538775;0,457029375919186;-5,19603505962822
"16710769";-0,529418500337876;5,64677329547103;-1,42818406322242;0,17207269147979;0,457029375919186;-5,19623339131455
"17121488";-0,4218235253009;6,27889813640754;-1,42807111491989;0,172104701949837;0,457029375919186;-5,19637827246968
"16996769";-0,47177209132402;4,67295262724761;-1,42805062507152;0,17211050946199;0,457029375919186;-5,19640455428535
"16932446";0,413900676200147;6,03070507076079;1,42800399246843;0,172123727307735;0,457029375919186;-5,19646436767933
"16830575";-0,601016364279386;8,32036216902084;-1,4278611567884;0,172164218741648;0,457029375919186;-5,19664756679867
"16654933";-0,608917330078975;6,68931015586317;-1,42783998312907;0,172170221769378;0,457029375919186;-5,19667472265194
"16687827";-0,614503526789652;4,20071428268606;-1,42777980682162;0,1721872835267;0,457029375919186;-5,19675189888401
"16737749";0,6176678816962;6,85395707059506;1,42749870970485;0,17226700116873;0,457131800805813;-5,19711237341645
"17113293";-0,543088439516551;7,31790516508046;-1,4273503930638;0,172309075142167;0,457131800805813;-5,19730255039273
"16798434";1,34800459794317;7,19341156163612;1,42728303852143;0,17232818483078;0,457131800805813;-5,19738890982122
"17078893";-0,505961150090221;6,29051930833006;-1,42693245713317;0,172427679038051;0,457295484452853;-5,19783836139892
"16685777";1,08339564980355;5,91652558219903;1,42670899879963;0,172491120522611;0,457295484452853;-5,19812479472162
"17056326";0,858603646788304;5,62738664031957;1,42659868884957;0,172522445375998;0,457295484452853;-5,19826617950414
"16712960";-0,516729161993705;6,83870079711621;-1,42658492167777;0,172526355183384;0,457295484452853;-5,19828382436386
"17023239";-0,523083539765601;8,98918446264628;-1,42631483999249;0,17260307167642;0,457365726195921;-5,19862995132822
"16792331";-0,452746573263026;3,54133327102045;-1,42625138931588;0,172621098838046;0,457365726195921;-5,19871126013038
"16654329";-0,521697631157313;7,98096290419572;-1,42608469190041;0,172668467075768;0,457400816735887;-5,19892486112031
"16798142";-0,467384378812908;7,13729422428331;-1,42545484747717;0,172847537734329;0,457784705748064;-5,19973175146198
"17009478";0,541922225767155;7,8553391886646;1,42529163171356;0,172893966265322;0,457817211343418;-5,19994080163687
"16651207";0,613165882267511;3,8298297343434;1,42494492964486;0,172992623339395;0,457987976148775;-5,2003848038958
"16901027";-0,512154687843595;5,97212416624811;-1,42463780932275;0,173080055520692;0,458128962124675;-5,20077804666536
"16972699";0,413583493146733;4,27644971350947;1,42372201384585;0,173340982118543;0,458633094431782;-5,20195026205697
"16877133";-0,587699901071105;7,77520521346152;-1,42370626886423;0,173345470956449;0,458633094431782;-5,20197041051875
"17121434";-0,501382681353242;6,73563976681236;-1,42358327090535;0,173380540504113;0,458633094431782;-5,20212780205512
"16818724";-0,550005695813411;8,08728042330853;-1,42348915131924;0,173407380079101;0,458633094431782;-5,20224823297941
"17012262";-0,527365889641187;6,0028334858454;-1,42284065802316;0,173592399717712;0,458764360595425;-5,20307784759965
"17011470";-0,516459389162923;5,69680503609559;-1,42268001584479;0,173638256964894;0,458764360595425;-5,20328331150946
"17072580";-0,486627659106793;6,15178152001126;-1,42262887685945;0,173652857281745;0,458764360595425;-5,20334871534426
"16953735";-0,513012942563131;7,49537595321796;-1,42254286065398;0,173677417400463;0,458764360595425;-5,20345872106893
"16983286";-0,513704562627781;8,30406825471568;-1,42253642907221;0,17367925391742;0,458764360595425;-5,20346694618336
"16989243";-0,505226888154078;7,33299629261187;-1,42240480548611;0,173716842083252;0,458764360595425;-5,20363526848651
"16952639";-0,567724700711578;8,80366277711776;-1,42232330860661;0,17374011873744;0,458764360595425;-5,2037394819677
"17008105";-0,478734729723516;6,85706997988276;-1,42230127876364;0,173746411207668;0,458764360595425;-5,20376765166426
"16963674";-0,506587537893403;6,34068682730093;-1,42223604712044;0,173765044668977;0,458764360595425;-5,20385106180216
"17125984";1,02496541168015;6,72087830167048;1,42180845953579;0,173887225766893;0,458844355233844;-5,20439773493115
"17120218";-0,501991830887234;6,43274435483078;-1,42167623035782;0,173925023822696;0,458844355233844;-5,20456676507976
"16863307";-0,494156172264025;7,01422024519269;-1,42162300119967;0,173940241411021;0,458844355233844;-5,20463480513872
"17086981";0,490104837843376;7,58832567743427;1,42156911511042;0,173955647915965;0,458844355233844;-5,20470368292214
"17125594";-0,560268600240691;6,51631828816723;-1,42153114865073;0,173966503528678;0,458844355233844;-5,20475221085632
"16788576";-0,474581448487679;6,02697902884484;-1,42110695078806;0,17408783052402;0,458960732825231;-5,20529434387233
"17014585";0,653715902551894;5,47436966463142;1,42094563136215;0,174133988450257;0,458960732825231;-5,20550048052099
"16937563";-0,521766939559227;7,75598679296672;-1,42092153703212;0,17414088335882;0,458960732825231;-5,20553126711148
"17043365";-0,521246586186381;6,54377389158427;-1,42082784645942;0,174167696264175;0,458960732825231;-5,20565097665698
"16655413";0,765918589057145;4,07517595422713;1,42077846499114;0,174181829892715;0,458960732825231;-5,20571406949459
"16976480";-0,495986714180009;3,72373304037813;-1,41999006528616;0,174407607177077;0,459360726602612;-5,20672114945272
"16891616";-0,477926924356188;6,42265670916972;-1,41983140586854;0,174453072001168;0,459360726602612;-5,20692376459156
"16901197";-0,505389765214499;8,33825779005642;-1,41975536532408;0,174474865313036;0,459360726602612;-5,20702086557329
"16780896";-0,438959797766105;5,8439843723879;-1,41933221039931;0,174596182629895;0,459360726602612;-5,20756114572951
"17020729";0,745367486246169;4,01557971205836;1,41930602630343;0,174603691797833;0,459360726602612;-5,20759457325841
"17094064";-0,514251282868943;6,21610674478714;-1,4191850177712;0,174638398478909;0,459360726602612;-5,20774905079777
"17097603";-0,474371263151389;7,03699882269101;-1,4190560257729;0,174675401113696;0,459360726602612;-5,207913708733
"16656401";0,661269251001925;4,08167399257982;1,41898518200016;0,174695726075463;0,459360726602612;-5,2080041357132
"16683871";-0,63314058995198;7,65803745468299;-1,41896650363119;0,174701085190352;0,459360726602612;-5,20802797672855
"16992338";1,07774340968653;5,8141080250186;1,41890293173088;0,174719325964032;0,459360726602612;-5,20810911790447
"16827850";-0,579247489468143;7,51531990865939;-1,41882906988411;0,174740521198758;0,459360726602612;-5,20820338932867
"16764019";-0,47574186380427;7,51197311044534;-1,41874835822712;0,174763684439794;0,459360726602612;-5,20830639898788
"16674412";0,810316150722569;9,18881857079971;1,41862501024147;0,174799088618272;0,459360726602612;-5,20846381528574
"17124068";-0,597208770222136;7,17880829461336;-1,41857508954609;0,174813418860036;0,459360726602612;-5,20852752091832
"17054040";-0,495819231908122;6,77662220841759;-1,41833999092601;0,174880919194466;0,45944802839722;-5,20882751568646
"16860508";-0,507366823373546;6,70241902175718;-1,41771334001729;0,175060943974881;0,459733522689846;-5,20962695893066
"16834370";-0,487452774085597;8,55054926884734;-1,41757343254955;0,175101157349528;0,459733522689846;-5,20980540722957
"16833802";-0,497788837887108;7,10362923643605;-1,41723943278269;0,175197188833405;0,459733522689846;-5,21023136028979
"16776048";-0,589753347973019;7,07879853130006;-1,41714506310328;0,175224329752002;0,459733522689846;-5,21035169682011
"16681867";-0,595390039348038;5,24016537870194;-1,41686930055074;0,175303659302501;0,459733522689846;-5,21070330307127
"17017244";-0,50127829042164;8,76727494652093;-1,41684373088319;0,175311016499858;0,459733522689846;-5,21073590256003
"17031887";-0,50127829042164;8,76727494652093;-1,41684373088319;0,175311016499858;0,459733522689846;-5,21073590256003
"17034357";-0,50127829042164;8,76727494652093;-1,41684373088319;0,175311016499858;0,459733522689846;-5,21073590256003
"17065726";-0,56910996578877;7,32099096542269;-1,41666248106481;0,175363174993604;0,459733522689846;-5,21096697005554
"16657167";0,598607002476736;4,03996008922875;1,41665028760374;0,175366684376055;0,459733522689846;-5,21098251414977
"16878358";-0,510538466516914;7,57327966763136;-1,41664964886551;0,175366868211965;0,459733522689846;-5,21098332840363
"16697971";-0,528498172835809;7,535799896107;-1,41631186620379;0,17546410781532;0,459867366192094;-5,21141388899304
"17010874";0,445767270348967;5,86283814276256;1,41612614449113;0,175517591421472;0,459867366192094;-5,21165058870658
"17098328";-0,584196220579051;6,74100697242078;-1,41611483781868;0,175520847913963;0,459867366192094;-5,21166499812901
"16699021";-0,555666436322594;6,22287462605628;-1,41562642788312;0,175661564406095;0,460116079556383;-5,21228735167845
"16900276";-0,444564325507952;5,68567958759288;-1,41550914782952;0,17569536782829;0,460116079556383;-5,21243677046549
"16749398";-0,542436977654591;7,90981598036251;-1,4154280124675;0,175718756434581;0,460116079556383;-5,21254013409687
"16944922";-0,683211834991745;4,25371153483728;-1,41524282256514;0,175772149990668;0,460165995795883;-5,21277604248078
"16651457";-0,6453634248878;5,52250668409162;-1,414833508155;0,175890209585253;0,460385153149917;-5,21329737252948
"16652761";0,654777553461936;3,40614426821371;1,41440750207829;0,176013152262047;0,460617003693964;-5,21383983866784
"16650419";-0,530617249878198;7,17519821826668;-1,41426109506613;0,176055420580354;0,46063768445424;-5,21402624082406
"16937795";-0,572243004256826;7,90190753559098;-1,41348894217712;0,176278481295516;0,461098400104156;-5,21500908242209
"16788751";0,571698449040989;7,29000396871534;1,41341343626942;0,176300305918666;0,461098400104156;-5,21510516855034
"16932300";-0,492109086954992;7,57706852059221;-1,41329439403926;0,176334718982239;0,461098434108064;-5,21525664940609
"16652057";0,668369144148385;4,36604372787211;1,41298079231121;0,176425402066294;0,461155633638184;-5,21565565946006
"16652721";0,668369144148385;4,36604372787211;1,41298079231121;0,176425402066294;0,461155633638184;-5,21565565946006
"17058812";-0,549843396956967;8,26835189772204;-1,41265153700978;0,176520652538322;0,461297540197667;-5,21607451273497
"16748157";0,795667905276415;7,82802398200742;1,41255522912581;0,176548521427487;0,461297540197667;-5,21619701397575
"16740334";0,778479209275166;7,58321999566488;1,41219110912765;0,176653920286392;0,461478217640614;-5,21666010731578
"16984141";-0,508141109693339;7,44881020383635;-1,41201551572224;0,176704766206519;0,461478217640614;-5,2168833967308
"16986913";0,547928218306796;10,1281819448811;1,41195961465326;0,176720955770611;0,461478217640614;-5,21695447757237
"16713448";0,765500605002733;6,76922514931047;1,41171821378757;0,176790881994814;0,461487057491867;-5,21726140518819
"16652079";-0,509833922581401;4,63307928285502;-1,41159138919069;0,176827628116848;0,461487057491867;-5,21742263928831
"16652743";-0,509833922581401;4,63307928285502;-1,41159138919069;0,176827628116848;0,461487057491867;-5,21742263928831
"16977348";1,22537698571477;3,97660122627473;1,4113193444064;0,176906471285247;0,461602947461058;-5,21776845635784
"16657137";-0,57349625412933;8,59639168729475;-1,41097180582005;0,177007235494565;0,461775979869434;-5,21821016452231
"16993424";1,09139123629937;7,39389284778136;1,41053849014888;0,177132935118799;0,461961108149805;-5,21876077436095
"17122492";-0,508529276916862;9,05466595450547;-1,41046284488911;0,177154886344838;0,461961108149805;-5,21885688263249
"16654725";-0,557136119818598;4,06030950149288;-1,41017005466222;0,177239870975385;0,461961108149805;-5,21922883883077
"16668891";-0,49779804201335;5,90550215949105;-1,41015594105005;0,177243968399371;0,461961108149805;-5,21924676703917
"16982426";-0,499825012395823;8,39203949053367;-1,41012611254438;0,177252628380648;0,461961108149805;-5,21928465707201
"16782010";1,14419594062417;9,5169438430658;1,41001467330371;0,177284985103148;0,461961108149805;-5,21942620868422
"16906335";0,734054035681641;6,99603659037732;1,40960811527078;0,177403071255997;0,462117257170271;-5,21994255083195
"16682631";-0,513695680284718;7,95445777487843;-1,40957097509901;0,177413861936602;0,462117257170271;-5,21998971434241
